,Year,City,Type of structure,Type of unit,Rent Price
117787,2021,Timmins,Row and apartment structures of three units and over,Three bedroom units,1118.0
117790,2021,Timmins,Row structures of three units and over,Two bedroom units,1029.0
117792,2021,Timmins,Apartment structures of three units and over,Bachelor units,591.0
117793,2021,Timmins,Apartment structures of three units and over,One bedroom units,890.0
117794,2021,Timmins,Apartment structures of three units and over,Two bedroom units,1035.0
117795,2021,Timmins,Apartment structures of three units and over,Three bedroom units,1118.0
117796,2021,Timmins,Apartment structures of six units and over,Bachelor units,675.0
117797,2021,Timmins,Apartment structures of six units and over,One bedroom units,982.0
117798,2021,Timmins,Apartment structures of six units and over,Two bedroom units,1126.0
117799,2021,Timmins,Apartment structures of six units and over,Three bedroom units,1280.0
117800,2021,Toronto,Row and apartment structures of three units and over,Bachelor units,1217.0
117801,2021,Toronto,Row and apartment structures of three units and over,One bedroom units,1439.0
117802,2021,Toronto,Row and apartment structures of three units and over,Two bedroom units,1680.0
117803,2021,Toronto,Row and apartment structures of three units and over,Three bedroom units,1918.0
117805,2021,Toronto,Row structures of three units and over,One bedroom units,1806.0
117806,2021,Toronto,Row structures of three units and over,Two bedroom units,1835.0
117807,2021,Toronto,Row structures of three units and over,Three bedroom units,1966.0
117808,2021,Toronto,Apartment structures of three units and over,Bachelor units,1217.0
117809,2021,Toronto,Apartment structures of three units and over,One bedroom units,1439.0
117810,2021,Toronto,Apartment structures of three units and over,Two bedroom units,1679.0
117811,2021,Toronto,Apartment structures of three units and over,Three bedroom units,1907.0
117812,2021,Toronto,Apartment structures of six units and over,Bachelor units,1217.0
117813,2021,Toronto,Apartment structures of six units and over,One bedroom units,1441.0
117814,2021,Toronto,Apartment structures of six units and over,Two bedroom units,1681.0
117815,2021,Toronto,Apartment structures of six units and over,Three bedroom units,1891.0
117864,2021,West Nipissing,Row and apartment structures of three units and over,Bachelor units,540.0
117865,2021,West Nipissing,Row and apartment structures of three units and over,One bedroom units,690.0
117866,2021,West Nipissing,Row and apartment structures of three units and over,Two bedroom units,894.0
117872,2021,West Nipissing,Apartment structures of three units and over,Bachelor units,540.0
117873,2021,West Nipissing,Apartment structures of three units and over,One bedroom units,690.0
117874,2021,West Nipissing,Apartment structures of three units and over,Two bedroom units,841.0
117877,2021,West Nipissing,Apartment structures of six units and over,One bedroom units,652.0
117878,2021,West Nipissing,Apartment structures of six units and over,Two bedroom units,796.0
117880,2021,Windsor,Row and apartment structures of three units and over,Bachelor units,775.0
117881,2021,Windsor,Row and apartment structures of three units and over,One bedroom units,976.0
117882,2021,Windsor,Row and apartment structures of three units and over,Two bedroom units,1152.0
117883,2021,Windsor,Row and apartment structures of three units and over,Three bedroom units,1465.0
117886,2021,Windsor,Row structures of three units and over,Two bedroom units,997.0
117887,2021,Windsor,Row structures of three units and over,Three bedroom units,1535.0
117888,2021,Windsor,Apartment structures of three units and over,Bachelor units,775.0
117889,2021,Windsor,Apartment structures of three units and over,One bedroom units,976.0
117890,2021,Windsor,Apartment structures of three units and over,Two bedroom units,1154.0
117891,2021,Windsor,Apartment structures of three units and over,Three bedroom units,1367.0
117892,2021,Windsor,Apartment structures of six units and over,Bachelor units,780.0
117893,2021,Windsor,Apartment structures of six units and over,One bedroom units,993.0
117894,2021,Windsor,Apartment structures of six units and over,Two bedroom units,1204.0
117895,2021,Windsor,Apartment structures of six units and over,Three bedroom units,1415.0
117897,2021,Woodstock,Row and apartment structures of three units and over,One bedroom units,1098.0
117898,2021,Woodstock,Row and apartment structures of three units and over,Two bedroom units,1284.0
117899,2021,Woodstock,Row and apartment structures of three units and over,Three bedroom units,1213.0
117902,2021,Woodstock,Row structures of three units and over,Two bedroom units,917.0
117903,2021,Woodstock,Row structures of three units and over,Three bedroom units,1262.0
117905,2021,Woodstock,Apartment structures of three units and over,One bedroom units,1098.0
117906,2021,Woodstock,Apartment structures of three units and over,Two bedroom units,1309.0
117907,2021,Woodstock,Apartment structures of three units and over,Three bedroom units,1106.0
117909,2021,Woodstock,Apartment structures of six units and over,One bedroom units,1168.0
117910,2021,Woodstock,Apartment structures of six units and over,Two bedroom units,1339.0
117911,2021,Woodstock,Apartment structures of six units and over,Three bedroom units,1087.0
119560,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Bachelor units,783.0
119561,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,One bedroom units,957.0
119562,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Two bedroom units,1270.0
119563,2022,Ottawa-Gatineau,Row and apartment structures of three units and over,Three bedroom units,1374.0
119566,2022,Ottawa-Gatineau,Row structures of three units and over,Two bedroom units,1380.0
119568,2022,Ottawa-Gatineau,Apartment structures of three units and over,Bachelor units,783.0
119569,2022,Ottawa-Gatineau,Apartment structures of three units and over,One bedroom units,958.0
119570,2022,Ottawa-Gatineau,Apartment structures of three units and over,Two bedroom units,1269.0
119571,2022,Ottawa-Gatineau,Apartment structures of three units and over,Three bedroom units,1379.0
119572,2022,Ottawa-Gatineau,Apartment structures of six units and over,Bachelor units,796.0
119573,2022,Ottawa-Gatineau,Apartment structures of six units and over,One bedroom units,1000.0
119574,2022,Ottawa-Gatineau,Apartment structures of six units and over,Two bedroom units,1286.0
119575,2022,Ottawa-Gatineau,Apartment structures of six units and over,Three bedroom units,1315.0
119593,2022,Hawkesbury,Row and apartment structures of three units and over,One bedroom units,932.0
119594,2022,Hawkesbury,Row and apartment structures of three units and over,Two bedroom units,914.0
119595,2022,Hawkesbury,Row and apartment structures of three units and over,Three bedroom units,1348.0
119601,2022,Hawkesbury,Apartment structures of three units and over,One bedroom units,932.0
119602,2022,Hawkesbury,Apartment structures of three units and over,Two bedroom units,914.0
119603,2022,Hawkesbury,Apartment structures of three units and over,Three bedroom units,1348.0
119605,2022,Hawkesbury,Apartment structures of six units and over,One bedroom units,1042.0
119606,2022,Hawkesbury,Apartment structures of six units and over,Two bedroom units,1021.0
120136,2022,Barrie,Row and apartment structures of three units and over,Bachelor units,1073.0
120137,2022,Barrie,Row and apartment structures of three units and over,One bedroom units,1333.0
120138,2022,Barrie,Row and apartment structures of three units and over,Two bedroom units,1542.0
120139,2022,Barrie,Row and apartment structures of three units and over,Three bedroom units,1818.0
120142,2022,Barrie,Row structures of three units and over,Two bedroom units,1642.0
120143,2022,Barrie,Row structures of three units and over,Three bedroom units,1911.0
120144,2022,Barrie,Apartment structures of three units and over,Bachelor units,1073.0
120145,2022,Barrie,Apartment structures of three units and over,One bedroom units,1332.0
120146,2022,Barrie,Apartment structures of three units and over,Two bedroom units,1537.0
120147,2022,Barrie,Apartment structures of three units and over,Three bedroom units,1611.0
120148,2022,Barrie,Apartment structures of six units and over,Bachelor units,1085.0
120149,2022,Barrie,Apartment structures of six units and over,One bedroom units,1356.0
120150,2022,Barrie,Apartment structures of six units and over,Two bedroom units,1553.0
120151,2022,Barrie,Apartment structures of six units and over,Three bedroom units,1649.0
120152,2022,Belleville,Row and apartment structures of three units and over,Bachelor units,913.0
120153,2022,Belleville,Row and apartment structures of three units and over,One bedroom units,1108.0
120154,2022,Belleville,Row and apartment structures of three units and over,Two bedroom units,1282.0
120155,2022,Belleville,Row and apartment structures of three units and over,Three bedroom units,1463.0
120160,2022,Belleville,Apartment structures of three units and over,Bachelor units,913.0
120161,2022,Belleville,Apartment structures of three units and over,One bedroom units,1109.0
120162,2022,Belleville,Apartment structures of three units and over,Two bedroom units,1295.0
120163,2022,Belleville,Apartment structures of three units and over,Three bedroom units,1580.0
120164,2022,Belleville,Apartment structures of six units and over,Bachelor units,962.0
120165,2022,Belleville,Apartment structures of six units and over,One bedroom units,1141.0
120166,2022,Belleville,Apartment structures of six units and over,Two bedroom units,1312.0
120167,2022,Belleville,Apartment structures of six units and over,Three bedroom units,1850.0
120169,2022,Bracebridge,Row and apartment structures of three units and over,One bedroom units,959.0
120170,2022,Bracebridge,Row and apartment structures of three units and over,Two bedroom units,1297.0
120177,2022,Bracebridge,Apartment structures of three units and over,One bedroom units,959.0
